Dropout,BatchSize,Val_F1
0.1,8,0.8316218872870249
0.1,16,0.7804168950982991
0.1,32,0.8100051612903227
0.3,8,0.8101587154903547
0.3,16,0.766563459125567
0.3,32,0.8144679787566385
0.5,8,0.8211324253839467
0.5,16,0.8031750892200398
0.5,32,0.814863387390897
